term,name,section,component,title,startTime,endTime,monday,tuesday,wednesday,thursday,friday,online,preReq,coReq,association,labRequired,requireEngineer,id
Fall,SOEN422,MMME,TUT,EMBEDDED SYSTEMS/SOFTWARE,1220,1265,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP346,,3661,FALSE,Y,375
Fall,SOEN287,Q,LEC,WEB PROGRAMMING,615,690,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,COMP248,,,TRUE,,376
Fall,SOEN287,Q QA,TUT,WEB PROGRAMMING,705,805,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COMP248,,,FALSE,,377
Fall,SOEN287,Q QB,TUT,WEB PROGRAMMING,1095,1195,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COMP248,,,FALSE,,378
Fall,SOEN287,Q QC,TUT,WEB PROGRAMMING,1095,1195,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COMP248,,,FALSE,,379
Full,SOEN490,SS,LEC,CAPSTONE SW ENGR DESIGN PROJ,1105,1165,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,SOEN390,,4888,TRUE,Y,380
Winter,COMP367,A,LEC,TECH./SYMBOLIC COMPUTATIONS,705,780,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"(MAST234, COMP248), (COMP238, MAST217, COMP232)",,,TRUE,,381
Winter,COMP249,A-X,LAB,OBJ-ORIENTED PROGRAMMING II,990,1050,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COMP248,,,TRUE,,382
Winter,COMP248,A-X,LAB,OBJ-ORIENTED PROGRAMMING I,1200,1260,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,TRUE,,383
Winter,COMP248,C-X,LAB,OBJ-ORIENTED PROGRAMMING I,1200,1260,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,TRUE,,384
Winter,COMP248,D-X,LAB,OBJ-ORIENTED PROGRAMMING I,815,875,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,TRUE,,385
Winter,COMP228,DD,LEC,SYSTEM HARDWARE,1065,1215,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1004,TRUE,NOENG,386
Winter,COMP233,DD,LEC,PROB. & STATS. FOR COMP. SC.,1065,1215,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1014,TRUE,NOENG,387
