term	subject	courseNumber	section	component	name	location	startTime	endTime	monday	tuesday	wednesday	thursday	friday	online	enrollmentCap	preReq	coReq	equivalent	association	requireEngineer
Fall	SOEN	342	I IA	TUT	SW REQUIREMENTS + SPECS.	FGB055	15.45.00	16.35.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	50	SOEN341			3112	N
Fall	SOEN	342	I IB	TUT	SW REQUIREMENTS + SPECS.	FGB055	14.45.00	15.35.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	50	SOEN341			3112	N
Fall	SOEN	422	MM	LEC	EMBEDDED SYSTEMS/SOFTWARE	H540	17.45.00	20.15.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	36	COMP346		COEN 421	3661	Y
Fall	SOEN	422	MMME	TUT	EMBEDDED SYSTEMS/SOFTWARE	H562	20.20.00	21.05.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	36	COMP346		COEN 421	3661	Y
Fall	SOEN	287	Q	LEC	WEB PROGRAMMING	MBS2.210	10.15.00	11.30.00	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	110	COMP248		"COMP 229, SOEN 229"	2088	N
Fall	SOEN	287	Q QA	TUT	WEB PROGRAMMING	H544	11.45.00	13.25.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	40	COMP248		"COMP 229, SOEN 229"	2088	N
Fall	SOEN	287	Q QB	TUT	WEB PROGRAMMING	H540	18.15.00	19.55.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	35	COMP248		"COMP 229, SOEN 229"	2088	N
Fall	SOEN	287	Q QC	TUT	WEB PROGRAMMING	H627	18.15.00	19.55.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	35	COMP248		"COMP 229, SOEN 229"	2088	N
Full	SOEN	490	SS	LEC	CAPSTONE SW ENGR DESIGN PROJ	FGC080	18.25.00	19.25.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	150	SOEN390			4888	Y
Winter	COMP	367	A	LEC	TECH./SYMBOLIC COMPUTATIONS	FGB030	11.45.00	13.00.00	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	40	"(MAST234, COMP248), (COMP238, MAST217, COMP232)"		MAST 332		NOENG
