term	subject	courseNumber	section	component	name	location	startTime	endTime	monday	tuesday	wednesday	thursday	friday	online	enrollmentCap	preReq	coReq	equivalent	association	requireEngineer
Winter	COMP	248	W WA	TUT	OBJ-ORIENTED PROGRAMMING I	H459	10.15.00	11.50.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	45				1023	N
Winter	COMP	248	W WB	TUT	OBJ-ORIENTED PROGRAMMING I	H459	14.45.00	16.25.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	45				1023	N
Winter	COMP	371	WW	LEC	COMPUTER GRAPHICS	H553	17.45.00	20.15.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	100	"COMP352, COEN352"		COMP 471	"WWWI, WWWJ, WWWK, WWWL, WWWM"	NOENG
Winter	COMP	346	WW	LEC	OPERATING SYSTEMS	H520	17.45.00	20.15.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	90	"(COMP 228, SOEN 228), COMP 352."			1040	N
Winter	COMP	249	WW	LEC	OBJ-ORIENTED PROGRAMMING II	H920	17.45.00	20.15.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	90	COMP248			1030	N
Winter	COMP	346	WWWA	TUT	OPERATING SYSTEMS	H609	20.30.00	21.20.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	45	"(COMP 228, SOEN 228), COMP 352."			1040	N
Winter	COMP	249	WWWA	TUT	OBJ-ORIENTED PROGRAMMING II	H429	20.30.00	22.10.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	45	COMP248			1030	N
Winter	COMP	346	WWWB	TUT	OPERATING SYSTEMS	H619	13.15.00	14.05.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	45	"(COMP 228, SOEN 228), COMP 352."			1040	N
Winter	COMP	249	WWWB	TUT	OBJ-ORIENTED PROGRAMMING II	H619	19.00.00	20.50.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	45	COMP248			1030	N
Winter	COMP	371	WWWI	LAB	COMPUTER GRAPHICS	H831	16.15.00	18.05.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	30	"COMP352, COEN352"		COMP 471		NOENG
Winter	COMP	371	WWWJ	LAB	COMPUTER GRAPHICS	H845	20.30.00	22.20.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	16	"COMP352, COEN352"		COMP 471		NOENG
